,Gender,Age
1,Male,19
2,Male,16
3,Male,17
4,Male,19
5,Male,18
6,Male,19
7,Male,20
8,Male,17
9,Male,19
10,Male,19
11,Male,18
12,Male,19
13,Male,19
14,Male,19
15,Male,19
16,Female,18
17,Female,18
18,Female,19
19,Female,19
20,Female,20
21,Female,20
22,Female,19
23,Female,20
24,Female,17
25,Female,22
26,Female,20
27,Female,20
28,Female,19
29,Female,18
30,Female,18
